2026-09-02 00:52:08.056 | INFO     | __main__:main:98 - Rust extension (et_miner_rust): OK
2026-09-02 00:52:10.412 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 37/66: candidates [595,321, 611,252)
2026-09-02 00:52:10.413 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 37/66 filtering: 15,931 candidates → 549 frequent (3.4% pass rate, min_count=20)
2026-09-02 00:52:10.413 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 38/66: candidates [611,252, 611,255) (legacy sub-chunk)
2026-09-02 00:52:10.414 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 38/66 filtering: 3 candidates → 3 frequent (100.0% pass rate, min_count=20)
2026-09-02 00:52:10.414 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 39/66: candidates [611,255, 665,187)
2026-09-02 00:52:10.416 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 39/66 filtering: 53,932 candidates → 1,172 frequent (2.2% pass rate, min_count=20)
2026-09-02 00:52:10.416 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 40/66: candidates [665,187, 665,242) (legacy sub-chunk)
2026-09-02 00:52:10.417 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 40/66 filtering: 55 candidates → 7 frequent (12.7% pass rate, min_count=20)
2026-09-02 00:52:10.417 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 41/66: candidates [665,242, 679,546)
2026-09-02 00:52:10.418 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 41/66 filtering: 14,304 candidates → 624 frequent (4.4% pass rate, min_count=20)
2026-09-02 00:52:10.418 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 42/66: candidates [679,546, 679,556) (legacy sub-chunk)
2026-09-02 00:52:10.419 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 42/66 filtering: 10 candidates → 4 frequent (40.0% pass rate, min_count=20)
2026-09-02 00:52:10.420 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 43/66: candidates [679,556, 679,853)
2026-09-02 00:52:10.421 | INFO     | et_miner.gpu.row_split_chunks:run_chunked_dense_level:285 -   K=3 chunk 43/66 filtering: 297 candidates → 33 frequent (11.1% pass rate, min_count=20)
2026-09-02 00:52:10.421 | DEBUG    | et_miner.gpu.row_split_chunks:run_chunked_dense_level:267 -     K=3 chunk 44/66: candidates [679,853, 679,889) (legacy sub-chunk)
